Record Length,Analog:100000
Sample Interval,5.000000E-05
Vertical Units,V,
Vertical Scale,+1.000000E-02
Vertical Offset,-1.000000E-03
Horizontal Units,s
Horizontal Scale,+5.000000E-01
Model,SDS814X HD
Serial Number,SDS08A0Q808383
Software Version,3.8.12.1.1.3.8
Source,CH1
Second,Value
-2.4717500000E+00,-1.958333E-03
-2.4717000000E+00,+1.458333E-03
-2.4716500000E+00,+1.666667E-03
-2.4716000000E+00,-1.875000E-03
-2.4715500000E+00,-2.375000E-03
-2.4715000000E+00,+1.541667E-03
-2.4714500000E+00,+1.395833E-03
-2.4714000000E+00,-1.916667E-03
-2.4713500000E+00,-1.979167E-03
-2.4713000000E+00,+1.395833E-03
-2.4712500000E+00,+1.604167E-03
-2.4712000000E+00,-1.500000E-03
-2.4711500000E+00,+1.500000E-03
-2.4711000000E+00,-1.770833E-03
-2.4710500000E+00,-1.645833E-03
-2.4710000000E+00,+1.500000E-03
-2.4709500000E+00,+1.104167E-03
-2.4709000000E+00,-1.833333E-03
-2.4708500000E+00,+1.562500E-03
-2.4708000000E+00,-2.250000E-03
-2.4707500000E+00,+1.187500E-03
-2.4707000000E+00,-1.875000E-03
-2.4706500000E+00,+1.437500E-03
-2.4706000000E+00,-1.583333E-03
-2.4705500000E+00,+1.395833E-03
-2.4705000000E+00,-1.541667E-03
-2.4704500000E+00,-1.895833E-03
-2.4704000000E+00,+1.083333E-03
-2.4703500000E+00,+1.479167E-03
-2.4703000000E+00,-1.833333E-03
-2.4702500000E+00,+1.270833E-03
-2.4702000000E+00,-1.687500E-03
-2.4701500000E+00,-1.958333E-03
-2.4701000000E+00,+1.520833E-03
-2.4700500000E+00,+1.520833E-03
-2.4700000000E+00,-1.645833E-03
-2.4699500000E+00,+1.416667E-03
-2.4699000000E+00,-1.729167E-03
-2.4698500000E+00,+1.354167E-03
-2.4698000000E+00,-1.604167E-03
-2.4697500000E+00,+1.208333E-03
-2.4697000000E+00,-1.604167E-03
-2.4696500000E+00,+1.208333E-03
-2.4696000000E+00,-1.625000E-03
-2.4695500000E+00,+1.666667E-03
-2.4695000000E+00,-1.520833E-03
-2.4694500000E+00,-1.895833E-03
-2.4694000000E+00,+1.166667E-03
-2.4693500000E+00,-1.645833E-03
-2.4693000000E+00,+1.187500E-03
-2.4692500000E+00,+1.270833E-03
-2.4692000000E+00,-1.458333E-03
-2.4691500000E+00,+1.145833E-03
-2.4691000000E+00,-1.395833E-03
-2.4690500000E+00,+1.041667E-03
-2.4690000000E+00,-1.416667E-03
-2.4689500000E+00,+1.000000E-03
-2.4689000000E+00,-1.500000E-03
-2.4688500000E+00,-1.312500E-03
-2.4688000000E+00,+1.104167E-03
-2.4687500000E+00,+9.583334E-04
-2.4687000000E+00,-1.208333E-03
-2.4686500000E+00,+8.750000E-04
-2.4686000000E+00,-1.437500E-03
-2.4685500000E+00,-1.145833E-03
-2.4685000000E+00,+1.041667E-03
-2.4684500000E+00,-1.125000E-03
-2.4684000000E+00,+9.583334E-04
-2.4683500000E+00,-1.229167E-03
-2.4683000000E+00,+9.583334E-04
-2.4682500000E+00,+8.958334E-04
-2.4682000000E+00,-1.083333E-03
-2.4681500000E+00,+8.958334E-04
-2.4681000000E+00,-1.083333E-03
-2.4680500000E+00,-1.229167E-03
-2.4680000000E+00,+1.000000E-03
-2.4679500000E+00,+1.000000E-03
-2.4679000000E+00,-1.250000E-03
-2.4678500000E+00,+1.000000E-03
-2.4678000000E+00,-1.187500E-03
-2.4677500000E+00,-1.375000E-03
-2.4677000000E+00,+1.354167E-03
-2.4676500000E+00,-1.270833E-03
-2.4676000000E+00,+1.125000E-03
-2.4675500000E+00,+1.125000E-03
-2.4675000000E+00,-1.333333E-03
-2.4674500000E+00,+1.458333E-03
-2.4674000000E+00,-1.437500E-03
-2.4673500000E+00,-1.729167E-03
-2.4673000000E+00,+1.541667E-03
-2.4672500000E+00,+1.333333E-03
-2.4672000000E+00,-1.437500E-03
-2.4671500000E+00,-1.520833E-03
-2.4671000000E+00,+1.104167E-03
-2.4670500000E+00,+1.333333E-03
-2.4670000000E+00,-2.000000E-03
-2.4669500000E+00,+1.250000E-03
