FFT Length,65536
Record Length,32768
FFT Sample Rate,+5.000000E+06,
Delta Frequency,+7.629395E+01,
Start Frequency,+0.000000E+00,
Stop Frequency,+2.500000E+06,
Vertical Units,F1:,Real part,Vrms,Imaginary part,Vrms,Magnitude,dBV,
Model,SDS814X HD
Serial Number,SDS08A0Q809397
Software Version,3.8.12.1.1.3.8
SourceF1:
Frequency,Real part,Imaginary part,Magnitude,Angle
+1.419067E+04,-2.220601E-07,-5.754990E-07,-1.241963E+02,-1.939051E+00
+1.426697E+04,+6.557181E-07,-7.014344E-09,-1.236652E+02,-1.069679E-02
+1.434326E+04,-5.691272E-07,+3.943150E-09,-1.248956E+02,+3.134664E+00
+1.441956E+04,-1.754899E-07,+4.035094E-07,-1.271306E+02,+1.981030E+00
+1.449585E+04,+3.903062E-07,-4.494591E-07,-1.245056E+02,-8.557217E-01
+1.457214E+04,-3.356954E-07,+7.407434E-07,-1.217954E+02,+1.996297E+00
+1.464844E+04,+5.388584E-08,-9.035952E-07,-1.208651E+02,-1.511232E+00
+1.472473E+04,+5.499238E-08,+7.371847E-07,-1.226244E+02,+1.496336E+00
+1.480103E+04,+6.778962E-08,-3.727445E-07,-1.284305E+02,-1.390896E+00
+1.487732E+04,-2.666739E-07,+1.080616E-06,-1.190698E+02,+1.812742E+00
+1.495361E+04,+4.603546E-07,-2.173968E-06,-1.130644E+02,-1.362121E+00
+1.502991E+04,-2.981609E-07,+1.578339E-06,-1.158837E+02,+1.757504E+00
+1.510620E+04,+1.203300E-07,-5.308792E-07,-1.252825E+02,-1.347901E+00
+1.518250E+04,-5.780323E-07,-4.636785E-09,-1.247607E+02,-3.133571E+00
+1.525879E+04,+8.649729E-07,+4.547581E-08,-1.212480E+02,+5.252647E-02
+1.533508E+04,-5.405230E-07,+4.406676E-07,-1.231305E+02,+2.457615E+00
+1.541138E+04,+8.027271E-07,-5.639087E-07,-1.201666E+02,-6.123959E-01
+1.548767E+04,-1.780669E-06,+1.505704E-07,-1.149574E+02,+3.057235E+00
+1.556396E+04,+1.597668E-06,+5.907157E-08,-1.159243E+02,+3.695678E-02
+1.564026E+04,-8.398709E-07,-3.469026E-08,-1.215083E+02,-3.100312E+00
+1.571655E+04,+1.318136E-06,+2.407642E-07,-1.174583E+02,+1.806635E-01
+1.579285E+04,-1.539302E-06,-5.165684E-07,-1.157901E+02,-2.817816E+00
+1.586914E+04,+1.310901E-06,+1.883752E-07,-1.175598E+02,+1.427220E-01
+1.594543E+04,-1.480931E-06,+6.664414E-07,-1.157884E+02,+2.718726E+00
+1.602173E+04,+1.033698E-06,-9.776096E-07,-1.169373E+02,-7.575189E-01
+1.609802E+04,-7.102420E-07,+3.366840E-07,-1.220915E+02,+2.698927E+00
+1.617432E+04,+1.419691E-06,+2.217864E-08,-1.169551E+02,+1.562089E-02
+1.625061E+04,-8.097034E-07,+3.975128E-07,-1.208957E+02,+2.685222E+00
+1.632690E+04,-5.461220E-07,-4.322597E-07,-1.231417E+02,-2.472052E+00
+1.640320E+04,+5.435668E-07,-1.999950E-07,-1.247436E+02,-3.525588E-01
+1.647949E+04,-6.098714E-08,+5.540436E-07,-1.250768E+02,+1.680431E+00
+1.655579E+04,-5.745676E-07,-1.621428E-07,-1.244804E+02,-2.866545E+00
+1.663208E+04,+7.182981E-07,-4.277617E-07,-1.215556E+02,-5.371197E-01
+1.670837E+04,-1.283217E-07,+1.939122E-07,-1.326706E+02,+2.155389E+00
+1.678467E+04,+1.741157E-07,-6.263579E-08,-1.346547E+02,-3.453225E-01
+1.686096E+04,-2.974426E-07,+8.435450E-07,-1.209689E+02,+1.909795E+00
+1.693726E+04,-4.943162E-07,-9.831673E-07,-1.191687E+02,-2.036665E+00
+1.701355E+04,+8.839016E-07,-1.360479E-07,-1.209702E+02,-1.527190E-01
+1.708984E+04,-3.011104E-07,+1.209048E-06,-1.180898E+02,+1.814878E+00
+1.716614E+04,-3.261801E-07,-8.053512E-07,-1.212206E+02,-1.955619E+00
+1.724243E+04,+6.185850E-07,-2.735057E-08,-1.241635E+02,-4.418595E-02
+1.731873E+04,-3.033907E-07,+2.190938E-07,-1.285372E+02,+2.516155E+00
+1.739502E+04,-3.748943E-07,-5.256106E-08,-1.284373E+02,-3.002298E+00
+1.747131E+04,+4.020617E-07,-5.140384E-07,-1.237070E+02,-9.070269E-01
+1.754761E+04,-2.339152E-07,+3.193337E-07,-1.280496E+02,+2.203010E+00
+1.762390E+04,+7.124319E-07,+6.212952E-07,-1.204887E+02,+7.171718E-01
+1.770020E+04,-9.067738E-07,-6.519651E-07,-1.190403E+02,-2.518232E+00
+1.777649E+04,+4.419389E-07,+2.784502E-07,-1.256409E+02,+5.622333E-01
+1.785278E+04,-1.146834E-07,-4.849741E-07,-1.260493E+02,-1.803004E+00
+1.792908E+04,-2.039275E-07,+3.265691E-07,-1.282905E+02,+2.129003E+00
+1.800537E+04,+1.731694E-07,+2.536330E-08,-1.351384E+02,+1.454312E-01
+1.808167E+04,+1.777002E-07,-2.338199E-07,-1.306425E+02,-9.209338E-01
+1.815796E+04,+7.433361E-09,+1.045401E-06,-1.196141E+02,+1.563686E+00
+1.823425E+04,-2.053037E-07,-1.403930E-06,-1.169612E+02,-1.716002E+00
+1.831055E+04,+3.036496E-07,+4.823136E-07,-1.248834E+02,+1.008918E+00
+1.838684E+04,-4.268682E-07,+2.190387E-07,-1.263791E+02,+2.667496E+00
+1.846313E+04,+4.345275E-07,+1.969152E-07,-1.264285E+02,+4.254877E-01
+1.853943E+04,-2.692300E-07,-2.588917E-07,-1.285540E+02,-2.375768E+00
+1.861572E+04,+1.918783E-07,-3.502190E-07,-1.279732E+02,-1.069582E+00
+1.869202E+04,-5.118815E-07,+2.747902E-07,-1.247168E+02,+2.648922E+00
+1.876831E+04,-2.423165E-07,+1.925380E-07,-1.301869E+02,+2.470170E+00
+1.884460E+04,+1.669654E-06,-5.365152E-08,-1.155430E+02,-3.212226E-02
+1.892090E+04,-1.726371E-06,-3.572054E-07,-1.150753E+02,-2.937561E+00
+1.899719E+04,+8.857997E-07,+6.058751E-07,-1.193865E+02,+5.998976E-01
+1.907349E+04,-3.472235E-07,-3.548321E-07,-1.260824E+02,-2.345357E+00
+1.914978E+04,+2.825812E-07,+1.570816E-08,-1.309637E+02,+5.553098E-02
+1.922607E+04,-2.244046E-07,-4.767955E-07,-1.255644E+02,-2.010691E+00
+1.930237E+04,+2.274451E-07,+9.064238E-07,-1.205882E+02,+1.324947E+00
+1.937866E+04,-5.183846E-07,-6.294292E-07,-1.217724E+02,-2.259750E+00
+1.945496E+04,+2.959287E-06,-8.327142E-08,-1.105728E+02,-2.813159E-02
+1.953125E+04,-4.892090E-06,+7.290188E-07,-1.061147E+02,+2.993661E+00
+1.960754E+04,+1.897355E-06,-8.082361E-07,-1.137128E+02,-4.027008E-01
+1.968384E+04,+7.985687E-07,+7.784469E-08,-1.219127E+02,+9.717324E-02
+1.976013E+04,-4.668946E-07,+6.473261E-07,-1.219585E+02,+2.195653E+00
+1.983643E+04,+8.994641E-08,-5.056820E-07,-1.257872E+02,-1.394766E+00
+1.991272E+04,+6.038596E-08,+4.273765E-07,-1.272979E+02,+1.430431E+00
+1.998901E+04,-2.329084E-07,-1.836473E-07,-1.305565E+02,-2.473906E+00
+2.006531E+04,-1.194033E-07,-7.613310E-07,-1.222630E+02,-1.726364E+00
+2.014160E+04,+7.624799E-07,+1.202257E-06,-1.169319E+02,+1.005604E+00
+2.021790E+04,-1.442733E-06,-4.234884E-07,-1.164573E+02,-2.856080E+00
+2.029419E+04,+1.011885E-06,-2.078982E-07,-1.197178E+02,-2.026365E-01
+2.037048E+04,+4.767137E-07,+2.963397E-07,-1.250159E+02,+5.561724E-01
+2.044678E+04,-5.873333E-07,-5.586542E-07,-1.218240E+02,-2.381215E+00
+2.052307E+04,-5.186203E-07,+3.220138E-07,-1.242869E+02,+2.585944E+00
+2.059937E+04,+1.022900E-06,-2.428561E-07,-1.195652E+02,-2.331033E-01
+2.067566E+04,-1.253664E-07,+5.743045E-07,-1.246150E+02,+1.785717E+00
+2.075195E+04,-4.759506E-07,-4.890802E-07,-1.233187E+02,-2.342590E+00
+2.082825E+04,-6.375445E-07,+1.880056E-07,-1.235477E+02,+2.854830E+00
+2.090454E+04,+1.378430E-06,-6.019436E-08,-1.172040E+02,-4.364106E-02
+2.098083E+04,-2.888018E-07,-1.303601E-07,-1.299827E+02,-2.717590E+00
+2.105713E+04,-1.027058E-06,+1.713369E-07,-1.196489E+02,+2.976292E+00
+2.113342E+04,+1.116565E-06,+5.929137E-07,-1.179635E+02,+4.881512E-01
+2.120972E+04,-3.745352E-07,-6.382768E-07,-1.226148E+02,-2.101447E+00
+2.128601E+04,-1.361932E-07,+1.057121E-07,-1.352690E+02,+2.481538E+00
+2.136230E+04,-1.927924E-07,-3.583898E-07,-1.278091E+02,-2.064334E+00
+2.143860E+04,+4.669853E-07,+5.559582E-07,-1.227805E+02,+8.721572E-01
+2.151489E+04,-3.246467E-07,-7.358121E-07,-1.218922E+02,-1.986315E+00
+2.159119E+04,+4.952070E-07,+5.548707E-07,-1.225719E+02,+8.421555E-01
+2.166748E+04,-4.156080E-07,+1.131337E-07,-1.273159E+02,+2.875820E+00
+2.174377E+04,-2.137473E-07,-3.201714E-07,-1.282916E+02,-2.159447E+00
+2.182007E+04,+2.907642E-07,+2.361095E-07,-1.285297E+02,+6.820340E-01
+2.189636E+04,+2.730068E-07,-2.128111E-07,-1.292147E+02,-6.621206E-01
+2.197266E+04,-1.257905E-07,+4.421740E-08,-1.375011E+02,+2.803568E+00
+2.204895E+04,-4.447731E-07,+3.507524E-07,-1.249370E+02,+2.473836E+00
+2.212524E+04,+3.744666E-07,-6.057077E-07,-1.229490E+02,-1.017080E+00
+2.220154E+04,-4.330749E-07,+6.439216E-07,-1.222027E+02,+2.162867E+00
